19:24:52: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
19:24:52: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | main | 79] Connected!
19:24:53: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F10A070910>
19:24:53: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CDD480>
19:24:53: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F17FCD0290>
19:24:53: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109C8DBF0>
19:24:53: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CBAF50>
19:24:53: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F10A054C80>
19:24:54: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CD10F0>
19:24:54: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:54: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4290>
19:24:54: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4110>
19:24:54: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:55: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4290>
19:24:55: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:55: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4110>
19:24:55: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:55: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4110>
19:24:56: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:56: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4290>
19:24:56: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:56: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4110>
19:24:56: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4290>
19:24:57: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4050>
19:24:57: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4290>
19:24:57: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000001F109CE4110>
