19:50:35: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
19:50:36: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | main | 79] Connected!
19:50:36: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F870A50>
19:50:36: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E1480>
19:50:36: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x00000263FF400290>
19:50:37: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F485E10>
19:50:37: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F8549B0>
19:50:37: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F854C80>
19:50:37: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4D10F0>
19:50:37: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4050>
19:50:38: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4290>
19:50:38: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4110>
19:50:38: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4050>
19:50:38: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4290>
19:50:38: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4050>
19:50:39: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4110>
19:50:39: [INFO] [C:\Users\Jeyas\Downloads\WARGBootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_telemetry.py | read_queue | 47] Telemetry: <modules.telemetry.telemetry.TelemetryData object at 0x000002638F4E4050>
